fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,3.721305286511779,517638,0.0071890110202724
1,baseline,,3.863097095862031,513680,0.0075204350877239
2,baseline,,4.096674242988229,522370,0.007842476105037
3,baseline,,3.9222429264336816,516713,0.0075907572026128
4,baseline,,4.288060178980231,516023,0.00830982374619
5,baseline,,4.010029057040811,521190,0.0076939869472568
6,baseline,,4.038899216800928,519476,0.0077749486343949
7,baseline,,4.057720383629203,520974,0.0077887195591895
8,baseline,,3.652361759915948,522247,0.0069935523993741
9,baseline,,4.533735843375325,519863,0.008721020429181
0,catch24,,33.80749137327075,515316,0.0656053593780723
1,catch24,,33.4836229365319,511358,0.0654798065866416
2,catch24,,34.64922075532377,520048,0.0666269666556236
3,catch24,,33.96004787273705,514391,0.0660199106763863
4,catch24,,34.409065652638674,513701,0.0669826721237425
5,catch24,,34.795086212456226,518868,0.0670596109462449
6,catch24,,35.60262871347368,517154,0.0688433787875056
7,catch24,,34.325978480279446,518652,0.0661830639432209
8,catch24,,34.27183969505131,519925,0.0659168912728784
9,catch24,,34.48843504860997,517541,0.0666390393198026
0,drift,PageHinkley,9.682068835943936,517638,0.0187043239405606
1,drift,PageHinkley,9.39748609624803,513680,0.0182944364122567
2,drift,PageHinkley,9.22593335621059,522370,0.0176616830143587
3,drift,PageHinkley,9.468391241505742,516713,0.0183242752582298
4,drift,PageHinkley,8.765589464455843,516023,0.0169868193170766
5,drift,PageHinkley,9.784944992512465,521190,0.0187742377875869
6,drift,PageHinkley,9.60696567595005,519476,0.0184935698202612
7,drift,PageHinkley,9.427338805049658,520974,0.0180956032451708
8,drift,PageHinkley,9.649970293045044,522247,0.0184777898064422
9,drift,PageHinkley,9.240577170625327,519863,0.0177750237478438
0,catch24_drift,GeometricMovingAverage,33.43569637089968,515316,0.0648838700348905
1,catch24_drift,GeometricMovingAverage,32.454648366197944,511358,0.0634675674697529
2,catch24_drift,GeometricMovingAverage,32.633048951625824,520048,0.06275007105426
3,catch24_drift,GeometricMovingAverage,32.86211235821247,514391,0.0638854730316286
4,catch24_drift,GeometricMovingAverage,33.14775748550892,513701,0.0645273368856765
5,catch24_drift,GeometricMovingAverage,33.158107452094555,518868,0.0639047068851703
6,catch24_drift,GeometricMovingAverage,33.23551626503468,517154,0.064266188147118
7,catch24_drift,GeometricMovingAverage,34.128868291154504,518652,0.0658030206981839
8,catch24_drift,GeometricMovingAverage,34.07214812003076,519925,0.0655328136174078
9,catch24_drift,GeometricMovingAverage,33.507207019254565,517541,0.0647430967193991
