0,run,fold,test_base,RF
0.1338923451447119,,,,
0.2661072008662696,,,,
0.3872170439414114,,,,
0.4326949764085484,,,,
0.2123397435897435,,,,
0.1752114164904862,,,,
0.0924503311258278,,,,
0.152931854199683,,,,
0.148849797023004,,,,
0.3760385955507906,,,,
0.172432729269632,,,,
0.2357414448669201,,,,
,D_incremental_I_,0.0,0.0,0.3311926605504587
,D_incremental_I_,1.0,1.0,0.24448529411764705
,D_incremental_I_,2.0,2.0,0.24276923076923076
,D_incremental_I_,3.0,3.0,0.2118618159584225
,D_incremental_I_,4.0,4.0,0.26003649635036497
,D_incremental_I_,5.0,5.0,0.30816
,D_incremental_I_,6.0,6.0,0.30503899220155967
,D_incremental_I_,7.0,7.0,0.17490729295426452
,D_incremental_I_,8.0,8.0,0.5010812480691998
,D_incremental_I_,9.0,9.0,0.334696445423089
,D_incremental_I_,10.0,10.0,0.2854938271604938
,D_incremental_I_,11.0,11.0,0.30814991076740034
