0,1,2,3,run,labels,RF
784.0,0.0,14.0,52.0,,,
0.0,912.0,0.0,0.0,,,
0.0,0.0,950.0,0.0,,,
0.0,0.0,87.0,941.0,,,
880.0,0.0,0.0,0.0,,,
0.0,777.0,10.0,101.0,,,
0.0,4.0,672.0,269.0,,,
0.0,0.0,148.0,872.0,,,
874.0,0.0,0.0,0.0,,,
0.0,915.0,0.0,13.0,,,
0.0,7.0,506.0,387.0,,,
0.0,0.0,244.0,784.0,,,
900.0,0.0,0.0,0.0,,,
0.0,911.0,1.0,0.0,,,
0.0,0.0,743.0,207.0,,,
0.0,0.0,430.0,590.0,,,
846.0,0.0,39.0,8.0,,,
0.0,921.0,0.0,23.0,,,
0.0,0.0,571.0,344.0,,,
0.0,0.0,120.0,920.0,,,
882.0,0.0,0.0,0.0,,,
0.0,928.0,0.0,0.0,,,
0.0,0.0,651.0,249.0,,,
0.0,0.0,98.0,934.0,,,
902.0,0.0,0.0,0.0,,,
0.0,920.0,0.0,0.0,,,
0.0,0.0,557.0,368.0,,,
1.0,3.0,321.0,711.0,,,
900.0,0.0,0.0,0.0,,,
0.0,777.0,94.0,17.0,,,
0.0,0.0,580.0,370.0,,,
2.0,0.0,89.0,949.0,,,
817.0,5.0,35.0,3.0,,,
0.0,932.0,8.0,4.0,,,
4.0,0.0,697.0,214.0,,,
0.0,0.0,117.0,907.0,,,
920.0,0.0,0.0,0.0,,,
0.0,835.0,3.0,122.0,,,
0.0,0.0,561.0,359.0,,,
0.0,0.0,82.0,946.0,,,
864.0,0.0,0.0,0.0,,,
0.0,911.0,0.0,1.0,,,
0.0,0.0,594.0,336.0,,,
0.0,0.0,499.0,501.0,,,
846.0,0.0,0.0,0.0,,,
0.0,932.0,0.0,4.0,,,
0.0,0.0,585.0,330.0,,,
0.0,0.0,66.0,970.0,,,
,,,,D_abrupto_D_,"[0.0, 1.0, 2.0, 3.0]","[[2556, 2439, 2402, 2498], [2274, 2754, 1952, 2841], [1961, 2879, 2275, 2462], [2220, 1959, 1758, 3826]]"
